"FieldID_unique","Date","Year","Province","SamplerNo.x","FieldID","SamplerType","ExtractionGroup","qPCRPlate","JDay","SampleID","SsCtMean","SsCtSD","SsMean","logSsMean","VolumeSampled","TtCt","TtSD","Water","week","month","SsMean_t1","logSs_t1","SamplerNo.y","MeanWetness","DiffMeanWet","MeanWet_1d","MaxWetness","DiffMaxWet","MaxWet_1d","MinWetness","DiffMinWet","MinWet_1d","MeanTemp","DiffMeanT","MeanT_1d","MaxTemp","DiffMaxT","MaxT_1d","MinTemp","DiffMinT","MinT_1d","MeanRH","DiffMeanRH","MeanRH_1d","MaxRH","DiffMaxRH","MaxRH_1d","MinRH","DiffMinRH","MinRH_1d","DiffRH_0d","DiffRH_1d","DiffRH_2d","MaxDiffRH_2h","MaxDiffRH_3h","MeanVPD","DiffMeanVPD","MeanVPD_1d","MaxVPD","DiffMaxVPD","MaxVPD_1d","MinVPD","DiffMinVPD","MinVPD_1d","TotalPrecip","Precip_1d","RainYN","MaxRain","MinRain","MeanWC","DiffMeanWC","MeanWC_1d","MaxWC","DiffMaxWC","MaxWC_1d","MinWC","DiffMinWC","MinWC_1d","MeanDP","DiffMeanDP","MeanDP_1d","MaxDP","DiffMaxDP","MaxDP_1d","MinDP","DiffMinDP","MinDP_1d","MeanSoilTemp","DiffMeanSoilT","MeanSoilT_1d","MaxSoilTemp","DiffMaxSoilT","MaxSoilT_1d","MinSoilTemp","DiffMinSoilT","MinSoilT_1d","jday"
"1804Taber",2018-06-23,"2018","Alberta","Taber","1804","Burkard",NA,NA,174,NA,NA,NA,17.05,1.256396997,NA,NA,NA,NA,25,6,74.56,1.87827279,"Taber",17.19375,11.61792,5.57583,89.41,78.82,10.59,4.71,0.59,4.12,18.66498,-2.47013,21.1351,25.671,-3.919,29.59,11.88,-1.762,13.642,74.84375,12.73958,62.10417,92.5,6.3,86.2,49.4,15.4,34,43.1,52.2,59.5,24.8,24.8,4.46716,-3.6701,8.13725,11.72853,-7.53801,19.26654,0.8621,-0.76253,1.62463,0,0,0,0,0,17.80396,-0.70792,18.51188,18.4,-0.8,19.2,17.24,-0.58,17.82,13.76875,0.96458,12.80417,16,1.7,14.3,10.2,-0.7,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,174
"1804Taber",2018-06-24,"2018","Alberta","Taber","1804","Burkard",NA,NA,175,NA,NA,NA,7.27,0.917330426,NA,NA,NA,NA,25,6,17.05,1.256396997,"Taber",50.58771,33.39396,17.19375,100,10.59,89.41,5.29,0.58,4.71,20.68085,2.01588,18.66498,29.04,3.369,25.671,13.762,1.882,11.88,75.32083,0.47708,74.84375,96.1,3.6,92.5,37.7,-11.7,49.4,58.4,43.1,52.2,20.7,29.2,5.61428,1.14713,4.46716,17.81951,6.09097,11.72853,0.43184,-0.43026,0.8621,17.2,0,1,16,0,23.92292,6.11896,17.80396,29.66,11.26,18.4,16.3,-0.94,17.24,15.51458,1.74583,13.76875,19.8,3.8,16,12.9,2.7,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,175
"1804Taber",2018-06-25,"2018","Alberta","Taber","1804","Burkard",NA,NA,176,NA,NA,NA,61.09,1.79302166,NA,NA,NA,NA,26,6,7.27,0.917330426,"Taber",31.96042,-18.62729,50.58771,100,0,100,2.94,-2.35,5.29,21.97933,1.29848,20.68085,31.765,2.725,29.04,14.098,0.336,13.762,60.2,-15.12083,75.32083,96.7,0.6,96.1,28.7,-9,37.7,68,58.4,43.1,29.2,29.4,9.33785,3.72357,5.61428,24.03882,6.21931,17.81951,0.37819,-0.05365,0.43184,0,17.2,0,0,0,22.23521,-1.68771,23.92292,23.27,-6.39,29.66,20.22,3.92,16.3,12.53542,-2.97917,15.51458,18.9,-0.9,19.8,4.1,-8.8,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,176
"1804Taber",2018-06-26,"2018","Alberta","Taber","1804","Burkard",NA,NA,177,NA,NA,NA,168.05,2.228006612,NA,NA,NA,NA,26,6,61.09,1.79302166,"Taber",3.87333,-28.08708,31.96042,5.29,-94.71,100,2.94,0,2.94,17.93533,-4.044,21.97933,24.919,-6.846,31.765,10.075,-4.023,14.098,39.26667,-20.93333,60.2,71.7,-25,96.7,21.6,-7.1,28.7,50.1,68,58.4,26.2,31.5,9.80305,0.4652,9.33785,17.02949,-7.00934,24.03882,2.47834,2.10015,0.37819,0,0,0,0,0,19.53771,-2.6975,22.23521,20.15,-3.12,23.27,18.33,-1.89,20.22,2.725,-9.81042,12.53542,6.1,-12.8,18.9,0.3,-3.8,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,177
"1804Taber",2018-06-27,"2018","Alberta","Taber","1804","Burkard",NA,NA,178,NA,NA,NA,81,1.913831506,NA,NA,NA,NA,26,6,168.05,2.228006612,"Taber",14.36354,10.49021,3.87333,100,94.71,5.29,2.94,0,2.94,17.44356,-0.49177,17.93533,27.284,2.365,24.919,7.041,-3.034,10.075,51.26458,11.99792,39.26667,75.2,3.5,71.7,24.3,2.7,21.6,50.9,50.1,68,35.6,39.9,8.22426,-1.57879,9.80305,19.3535,2.32401,17.02949,2.03632,-0.44202,2.47834,13.4,0,1,12.4,0,21.04875,1.51104,19.53771,30.97,10.82,20.15,17.9,-0.43,18.33,6.025,3.3,2.725,12.3,6.2,6.1,2.1,1.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,178
"1804Taber",2018-06-28,"2018","Alberta","Taber","1804","Burkard",NA,NA,179,NA,NA,NA,52.62,1.729299811,NA,NA,NA,NA,26,6,81,1.913831506,"Taber",9.77896,-4.58458,14.36354,71.76,-28.24,100,4.71,1.77,2.94,17.12458,-0.31898,17.44356,23.617,-3.667,27.284,10.051,3.01,7.041,66.5,15.23542,51.26458,86.1,10.9,75.2,46.1,21.8,24.3,40,50.9,50.1,13.1,20.3,5.03029,-3.19397,8.22426,10.56211,-8.79139,19.3535,1.55302,-0.4833,2.03632,0,13.4,0,0,0,23.80667,2.75792,21.04875,25.74,-5.23,30.97,22.11,4.21,17.9,10.58125,4.55625,6.025,14.5,2.2,12.3,6.1,4,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,179
"1804Taber",2018-06-29,"2018","Alberta","Taber","1804","Burkard",NA,NA,180,NA,NA,NA,27.92,1.461148229,NA,NA,NA,NA,26,6,52.62,1.729299811,"Taber",28.92146,19.1425,9.77896,100,28.24,71.76,4.71,0,4.71,15.96556,-1.15902,17.12458,21.652,-1.965,23.617,9.879,-0.172,10.051,76.43542,9.93542,66.5,93.4,7.3,86.1,53.6,7.5,46.1,39.8,40,50.9,23.8,31.1,3.42012,-1.61017,5.03029,8.08051,-2.4816,10.56211,0.58826,-0.96476,1.55302,15.6,0,1,15.6,0,24.74604,0.93937,23.80667,32.13,6.39,25.74,21.6,-0.51,22.11,11.57708,0.99583,10.58125,15,0.5,14.5,8.8,2.7,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,180
"1804Taber",2018-06-30,"2018","Alberta","Taber","1804","Burkard",NA,NA,181,NA,NA,NA,17.34,1.26332039,NA,NA,NA,NA,26,6,27.92,1.461148229,"Taber",30.83313,1.91167,28.92146,100,0,100,4.71,0,4.71,16.69292,0.72735,15.96556,24.339,2.687,21.652,7.995,-1.884,9.879,67.10625,-9.32917,76.43542,95.3,1.9,93.4,41,-12.6,53.6,54.3,39.8,40,19.1,26.7,5.38104,1.96091,3.42012,12.07767,3.99715,8.08051,0.37003,-0.21824,0.58826,0,15.6,0,0,0,22.24813,-2.49792,24.74604,23.49,-8.64,32.13,20.58,-1.02,21.6,9.87292,-1.70417,11.57708,13.4,-1.6,15,7.2,-1.6,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,181
"1804Taber",2018-07-01,"2018","Alberta","Taber","1804","Burkard",NA,NA,182,NA,NA,NA,216.45,2.337352755,NA,NA,NA,NA,26,7,17.34,1.26332039,"Taber",12.28,-18.55313,30.83313,54.71,-45.29,100,4.12,-0.59,4.71,16.38185,-0.31106,16.69292,25.04,0.701,24.339,9.608,1.613,7.995,65.06875,-2.0375,67.10625,88.7,-6.6,95.3,31.6,-9.4,41,57.1,54.3,39.8,32.2,38.8,5.64173,0.26069,5.38104,14.67829,2.60062,12.07767,0.96116,0.59113,0.37003,0,0,0,0,0,20.01083,-2.23729,22.24813,20.58,-2.91,23.49,19.13,-1.45,20.58,8.98542,-0.8875,9.87292,12.4,-1,13.4,6.5,-0.7,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,182
"1804Taber",2018-07-02,"2018","Alberta","Taber","1804","Burkard",NA,NA,183,NA,NA,NA,335.15,2.526528809,NA,NA,NA,NA,27,7,216.45,2.337352755,"Taber",46.86292,34.58292,12.28,100,45.29,54.71,4.12,0,4.12,13.07442,-3.30744,16.38185,21.103,-3.937,25.04,7.745,-1.863,9.608,77.9875,12.91875,65.06875,93.9,5.2,88.7,48.4,16.8,31.6,45.5,57.1,54.3,40.1,40.1,2.70321,-2.93852,5.64173,8.99353,-5.68476,14.67829,0.48175,-0.47941,0.96116,42.2,0,1,18.8,0,21.86771,1.85687,20.01083,35.26,14.68,20.58,17.9,-1.23,19.13,9.09583,0.11042,8.98542,13.4,1,12.4,6,-0.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,183
"1804Taber",2018-07-03,"2018","Alberta","Taber","1804","Burkard",NA,NA,184,NA,NA,NA,29.48,1.483943714,NA,NA,NA,NA,27,7,335.15,2.526528809,"Taber",73.44313,26.58021,46.86292,100,0,100,5.29,1.17,4.12,12.00925,-1.06517,13.07442,18.461,-2.642,21.103,7.82,0.075,7.745,85.68542,7.69792,77.9875,95.5,1.6,93.9,59.5,11.1,48.4,36,45.5,57.1,14.3,20.6,1.64464,-1.05856,2.70321,5.98585,-3.00768,8.99353,0.3804,-0.10134,0.48175,11,42.2,1,3.8,0,14.93917,-6.92854,21.86771,27.41,-7.85,35.26,2.57,-15.33,17.9,9.53125,0.43542,9.09583,11.1,-2.3,13.4,7,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,184
"1804Taber",2018-07-04,"2018","Alberta","Taber","1804","Burkard",NA,NA,185,NA,NA,NA,28.09,1.463743721,NA,NA,NA,NA,27,7,29.48,1.483943714,"Taber",58.30813,-15.135,73.44313,100,0,100,7.06,1.77,5.29,15.25602,3.24677,12.00925,22.154,3.693,18.461,9.287,1.467,7.82,81.95625,-3.72917,85.68542,97.6,2.1,95.5,53.2,-6.3,59.5,44.4,36,45.5,21.4,32.1,2.79909,1.15444,1.64464,8.65787,2.67202,5.98585,0.20697,-0.17343,0.3804,7.6,11,1,4.6,0,10.43958,-4.49958,14.93917,14.12,-13.29,27.41,7.73,5.16,2.57,11.87708,2.34583,9.53125,14.8,3.7,11.1,8.5,1.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,185
"1804Taber",2018-07-05,"2018","Alberta","Taber","1804","Burkard",NA,NA,186,NA,NA,NA,204.32,2.312420679,NA,NA,NA,NA,27,7,28.09,1.463743721,"Taber",54.61979,-3.68833,58.30813,100,0,100,6.47,-0.59,7.06,18.77706,3.52104,15.25602,26.867,4.713,22.154,8.792,-0.495,9.287,77.05625,-4.9,81.95625,96.4,-1.2,97.6,54.7,1.5,53.2,41.7,44.4,36,19.6,29.9,4.53855,1.73946,2.79909,10.97373,2.31586,8.65787,0.30292,0.09595,0.20697,0,7.6,0,0,0,8.07167,-2.36792,10.43958,8.45,-5.67,14.12,7.51,-0.22,7.73,14.26667,2.38958,11.87708,18.9,4.1,14.8,8.2,-0.3,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,186
"1804Taber",2018-07-06,"2018","Alberta","Taber","1804","Burkard",NA,NA,187,NA,NA,NA,1877.28,3.273760334,NA,NA,NA,NA,27,7,204.32,2.312420679,"Taber",32.47646,-22.14333,54.61979,100,0,100,4.12,-2.35,6.47,24.5614,5.78433,18.77706,35.958,9.091,26.867,14.649,5.857,8.792,60.41875,-16.6375,77.05625,95.1,-1.3,96.4,29.4,-25.3,54.7,65.7,41.7,44.4,18.1,29.6,10.89212,6.35357,4.53855,30.74474,19.77101,10.97373,0.58817,0.28525,0.30292,0,0,0,0,0,7.83188,-0.23979,8.07167,8.6,0.15,8.45,7.22,-0.29,7.51,15.04792,0.78125,14.26667,22.6,3.7,18.9,8.2,0,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,187
"1804Taber",2018-07-07,"2018","Alberta","Taber","1804","Burkard",NA,NA,188,NA,NA,NA,949.2,2.977815026,NA,NA,NA,NA,27,7,1877.28,3.273760334,"Taber",6.715,-25.76146,32.47646,15.88,-84.12,100,3.53,-0.59,4.12,21.71327,-2.84813,24.5614,29.19,-6.768,35.958,11.394,-3.255,14.649,47.82083,-12.59792,60.41875,77.4,-17.7,95.1,25.5,-3.9,29.4,51.9,65.7,41.7,22.3,30.6,11.11148,0.21937,10.89212,21.50947,-9.23527,30.74474,2.14898,1.56082,0.58817,0,0,0,0,0,7.57813,-0.25375,7.83188,8.24,-0.36,8.6,6.86,-0.36,7.22,9.17708,-5.87083,15.04792,13.1,-9.5,22.6,6.6,-1.6,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,188
"1804Taber",2018-07-08,"2018","Alberta","Taber","1804","Burkard",NA,NA,189,NA,NA,NA,171.97,2.237970785,NA,NA,NA,NA,27,7,949.2,2.977815026,"Taber",36.51917,29.80417,6.715,100,84.12,15.88,4.71,1.18,3.53,18.15044,-3.56283,21.71327,26.28,-2.91,29.19,9.509,-1.885,11.394,68.69375,20.87292,47.82083,91.2,13.8,77.4,42.5,17,25.5,48.7,51.9,65.7,31.4,38.1,5.62025,-5.49123,11.11148,13.49107,-8.01839,21.50947,0.81543,-1.33356,2.14898,17.2,0,1,17.2,0,8.49188,0.91375,7.57813,12.96,4.72,8.24,6.35,-0.51,6.86,11.81875,2.64167,9.17708,16.5,3.4,13.1,7.1,0.5,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,189
"1804Taber",2018-07-09,"2018","Alberta","Taber","1804","Burkard",NA,NA,190,NA,NA,NA,1326.34,3.122982182,NA,NA,NA,NA,28,7,171.97,2.237970785,"Taber",36.18896,-0.33021,36.51917,100,0,100,5.88,1.17,4.71,20.925,2.77456,18.15044,31.23,4.95,26.28,10.32,0.811,9.509,67.98542,-0.70833,68.69375,93.9,2.7,91.2,35.7,-6.8,42.5,58.2,48.7,51.9,23.8,32,7.34692,1.72667,5.62025,21.08517,7.5941,13.49107,0.54243,-0.273,0.81543,0,17.2,0,0,0,8.46292,-0.02896,8.49188,8.82,-4.14,12.96,7.8,1.45,6.35,14.11458,2.29583,11.81875,18.7,2.2,16.5,9.1,2,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,190
"1804Taber",2018-07-10,"2018","Alberta","Taber","1804","Burkard",NA,NA,191,NA,NA,NA,827.67,2.918378996,NA,NA,NA,NA,28,7,1326.34,3.122982182,"Taber",50.19542,14.00646,36.18896,100,0,100,8.24,2.36,5.88,19.59919,-1.32581,20.925,29.79,-1.44,31.23,11.929,1.609,10.32,75.93333,7.94792,67.98542,97.5,3.6,93.9,59.6,23.9,35.7,37.9,58.2,48.7,24.5,29.2,4.63405,-2.71287,7.34692,12.07928,-9.00589,21.08517,0.27148,-0.27095,0.54243,18.4,0,1,17.6,0,8.51375,0.05083,8.46292,14.12,5.3,8.82,7.51,-0.29,7.8,15.01875,0.90417,14.11458,21.1,2.4,18.7,10.2,1.1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,191
"1804Taber",2018-07-11,"2018","Alberta","Taber","1804","Burkard",NA,NA,192,NA,NA,NA,136.57,2.138507953,NA,NA,NA,NA,28,7,827.67,2.918378996,"Taber",54.24021,4.04479,50.19542,100,0,100,8.24,0,8.24,18.60767,-0.99152,19.59919,26.109,-3.681,29.79,11.151,-0.778,11.929,75.125,-0.80833,75.93333,96.5,-1,97.5,50.6,-9,59.6,45.9,37.9,58.2,19.3,30.7,4.7729,0.13885,4.63405,11.36424,-0.71503,12.07928,0.34254,0.07106,0.27148,0,18.4,0,0,0,10.92521,2.41146,8.51375,12.52,-1.6,14.12,9.62,2.11,7.51,13.63125,-1.3875,15.01875,16.5,-4.6,21.1,10.1,-0.1,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,192
"1804Taber",2018-07-12,"2018","Alberta","Taber","1804","Burkard",NA,NA,193,NA,NA,NA,138.98,2.146050476,NA,NA,NA,NA,28,7,136.57,2.138507953,"Taber",43.5425,-10.69771,54.24021,100,0,100,5.88,-2.36,8.24,20.31815,1.71048,18.60767,29.115,3.006,26.109,9.04,-2.111,11.151,71.34167,-3.78333,75.125,95.5,-1,96.5,44.6,-6,50.6,50.9,45.9,37.9,20.4,30.4,6.57413,1.80123,4.7729,15.92026,4.55602,11.36424,0.36943,0.02689,0.34254,0,0,0,0,0,9.03938,-1.88583,10.92521,9.54,-2.98,12.52,8.45,-1.17,9.62,14.27708,0.64583,13.63125,18.8,2.3,16.5,8.4,-1.7,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,193
"1804Taber",2018-07-13,"2018","Alberta","Taber","1804","Burkard",NA,NA,194,NA,NA,NA,534.22,2.728532334,NA,NA,NA,NA,28,7,138.98,2.146050476,"Taber",27.1325,-16.41,43.5425,100,0,100,5.29,-0.59,5.88,22.89952,2.58138,20.31815,32.717,3.602,29.115,11.273,2.233,9.04,64.4125,-6.92917,71.34167,93.4,-2.1,95.5,35.6,-9,44.6,57.8,50.9,45.9,18.1,26.6,9.41444,2.84031,6.57413,22.69076,6.7705,15.92026,0.62286,0.25343,0.36943,0,0,0,0,0,7.65479,-1.38458,9.03938,8.45,-1.09,9.54,6.64,-1.81,8.45,14.96667,0.68958,14.27708,20.9,2.1,18.8,10.1,1.7,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,194
"1804Taber",2018-07-14,"2018","Alberta","Taber","1804","Burkard",NA,NA,195,NA,NA,NA,245.8,2.392336357,NA,NA,NA,NA,28,7,534.22,2.728532334,"Taber",14.40021,-12.73229,27.1325,31.76,-68.24,100,4.71,-0.58,5.29,15.52196,-7.37756,22.89952,22.298,-10.419,32.717,7.293,-3.98,11.273,72.54167,8.12917,64.4125,92.8,-0.6,93.4,41.7,6.1,35.6,51.1,57.8,50.9,30.4,39.3,4.09313,-5.32131,9.41444,10.91055,-11.78022,22.69076,0.5452,-0.07766,0.62286,0,0,0,0,0,6.29083,-1.36396,7.65479,6.71,-1.74,8.45,5.69,-0.95,6.64,10.08958,-4.87708,14.96667,12.5,-8.4,20.9,6.1,-4,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,195
